site,Amazilia_versicolor,Ammodramus_aurifrons,Ammodramus_humeralis,Arremon_taciturnus,Attila_spadiceus,Automolus_infuscatus,Automolus_ochrolaemus,Bucco_capensis,Bucco_tamatia,Cacicus_cela,Campephilus_rubricollis,Campylopterus_largipennis,Catharus_fuscescens,Celeus_elegans,Ceratopipra_erythrocephala,Cercomacroides_tyrannina,Certhiasomus_stictolaemus,Chloroceryle_aenea,Chloroceryle_americana,Coccycua_minuta,Coereba_flaveola,Conopophaga_aurita,Corythopis_torquatus,Cyanerpes_caeruleus,Cyanoloxia_rothschildii,Cymbilaimus_lineatus,Cyphorhinus_arada,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Dixiphia_pipra,Dryocopus_lineatus,Epinecrophylla_gutturalis,Florisuga_mellivora,Formicarius_analis,Formicarius_colma,Galbula_albirostris,Geotrygon_montana,Glaucidium_hardyi,Glaucis_hirsutus,Glyphorynchus_spirurus,Gymnopithys_rufigula,Heliothryx_auritus,Hemitriccus_zosterops,Henicorhina_leucosticta,Hylexetastes_perrotii,Hylophylax_naevius,Hypocnemis_cantator,Isleria_guttata,Jacamerops_aureus,Lanio_fulvus,Lanio_surinamus,Lepidothrix_serena,Leptotila_rufaxilla,Leucopternis_melanops,Lipaugus_vociferans,Lophotriccus_galeatus,Lophotriccus_vitiosus,Malacoptila_fusca,Manacus_manacus,Micrastur_gilvicollis,Micrastur_ruficollis,Mionectes_macconnelli,Mionectes_oleagineus,Momotus_momota,Monasa_atra,Myiarchus_ferox,Myiarchus_tuberculifer,Myiobius_barbatus,Myrmoderus_ferrugineus,Myrmornis_torquata,Myrmothera_campanisona,Myrmotherula_axillaris,Myrmotherula_longipennis,Myrmotherula_menetriesii,Nasica_longirostris,Neopelma_chrysocephalum,Onychorhynchus_coronatus,Paroaria_gularis,Percnostola_rufifrons,Phaethornis_bourcieri,Phaethornis_ruber,Phaethornis_superciliosus,Pheugopedius_coraya,Philydor_erythrocercum,Philydor_pyrrhodes,Pitangus_sulphuratus,Pithys_albifrons,Platyrinchus_coronatus,Platyrinchus_platyrhynchos,Platyrinchus_saturatus,Pteroglossus_viridis,Pyrrhura_picta,Ramphastos_vitellinus,Ramphocaenus_melanurus,Ramphocelus_carbo,Ramphotrigon_ruficauda,Rhynchocyclus_olivaceus,Rhytipterna_simplex,Saltator_grossus,Saltator_maximus,Schiffornis_turdina,Sclerurus_caudacutus,Sclerurus_macconnelli,Sclerurus_rufigularis,Sittasomus_griseicapillus,Sporophila_angolensis,Sporophila_castaneiventris,Synallaxis_rutilans,Tangara_palmarum,Terenotriccus_erythrurus,Thalurania_furcata,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_melanothorax,Thamnophilus_murinus,Thamnophilus_punctatus,Tolmomyias_assimilis,Tolmomyias_poliocephalus,Troglodytes_musculus,Trogon_rufus,Trogon_viridis,Tunchiornis_ochraceiceps,Turdus_albicollis,Tyranneutes_virescens,Veniliornis_cassini,Willisornis_poecilinotus,Xenops_minutus,Xiphorhynchus_obsoletus,Xiphorhynchus_pardalotus,Zebrilus_undulatus,richness,abundance,area,isolation,edge,categoria
Formiga,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,6,59,1.54,4843,31,edge
Furo_de_Santa_Luzia,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,1,0,1,1,1,0,0,0,10,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,2,0,0,7,1,0,4,0,30,79,198.31,951,148,interior
Fuzaca,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,2,2,0,0,0,1,2,0,0,0,0,0,1,0,11,0,0,0,0,1,3,1,0,1,8,0,0,0,3,0,0,12,6,0,0,0,4,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,2,0,0,6,0,0,0,0,0,0,9,7,0,1,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,43,121,934.29,30,418,interior
Garrafa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,15,9.41,10589,60,edge
Gaviao-real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,7,0,0,1,0,0,2,0,0,0,7,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,8,0,0,5,0,0,3,0,27,68,1678.96,3700,223,interior
Jabuti,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,22,58,232.24,11464,157,interior
Jiquitaia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,10,30,6.79,752,63,edge
Joaninha,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,54,0.63,6105,15,edge
Martelo,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,15,39,460.04,10653,77,edge
Mascote,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,1,0,4,0,0,0,6,0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,9,0,0,0,0,2,0,1,1,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,7,0,30,77,663.06,4160,384,interior
