Ilha_Ano,Local,Ano,Data,t,t_period,Celeus_elegans,Myrmotherula_axillaris,Troglodytes_musculus,Chrysuronia_versicolor,Monasa_atra,Dendrocincla_fuliginosa,Dendrocolaptes_certhia,Isleria_guttata,Lophotriccus_galeatus,Percnostola_rufifrons,Phaethornis_ruber,Thamnophilus_punctatus,Xiphorhynchus_pardalotus,Cercomacroides_tyrannina,Leptotila_rufaxilla,Ceratopipra_erythrocephala,Maschalethraupis_surinamus,Pseudopipra_pipra,Thalurania_furcata,Dryocopus_lineatus,Heliothryx_auritus,Florisuga_mellivora,Galbula_albirostris,Glyphorynchus_spirurus,Hypocnemis_cantator,Mionectes_macconnelli,Momotus_momota,Phaethornis_superciliosus,Schiffornis_turdina,Sclerurus_rufigularis,Sporophila_angolensis,Thamnophilus_murinus,Trogon_rufus,Turdus_albicollis,Willisornis_poecilinotus,Attila_spadiceus,Mionectes_oleagineus,Automolus_infuscatus,Certhiasomus_stictolaemus,Corythopis_torquatus,Cyanoloxia_rothschildii,Epinecrophylla_gutturalis,Formicarius_analis,Formicarius_colma,Hemitriccus_zosterops,Henicorhina_leucosticta,Hylophylax_naevius,Lanio_fulvus,Malacoptila_fusca,Myiobius_barbatus,Myrmoderus_ferrugineus,Myrmotherula_menetriesii,Philydor_pyrrhodes,Pithys_albifrons,Platyrinchus_saturatus,Rhynchocyclus_olivaceus,Sclerurus_macconnelli,Terenotriccus_erythrurus,Thamnomanes_ardesiacus,Thamnomanes_caesius,Thamnophilus_melanothorax,Xenops_minutus,Campephilus_rubricollis,Gymnopithys_rufigula,Lepidothrix_serena,Manacus_manacus,Micrastur_gilvicollis,Myrmornis_torquata,Myrmothera_campanisona,Phaethornis_bourcieri,Saltator_grossus,Tunchiornis_ochraceiceps,Myiarchus_tuberculifer,Platyrinchus_coronatus,Arremon_taciturnus,Chloroceryle_aenea,Myrmotherula_longipennis,Pheugopedius_coraya,Platyrinchus_platyrhynchos,Sclerurus_caudacutus,Tolmomyias_assimilis,Conopophaga_aurita,Cymbilaimus_lineatus,Cyphorhinus_arada,Jacamerops_aureus,Hylexetastes_perrotii,Ramphocaenus_melanurus,Automolus_ochrolaemus,Bucco_capensis,Geotrygon_montana,Veniliornis_cassini,Campylopterus_largipennis,Onychorhynchus_coronatus,Ramphastos_vitellinus,Rhytipterna_simplex,Catharus_fuscescens,Cyanerpes_caeruleus,Glaucidium_hardyi,Leucopternis_melanops,Tamatia_tamatia,Ramphocelus_carbo,Ammodramus_aurifrons,Coereba_flaveola,Thraupis_palmarum,Ramphotrigon_ruficauda,Philydor_erythrocercum,Glaucis_hirsutus,Synallaxis_rutilans,Xiphorhynchus_obsoletus,Cacicus_cela,Lipaugus_vociferans,Sittasomus_griseicapillus,Neopelma_chrysocephalum,Ammodramus_humeralis,Myiarchus_ferox,Paroaria_gularis,Pitangus_sulphuratus,Sporophila_castaneiventris,Tolmomyias_poliocephalus,Nasica_longirostris,Trogon_viridis,Pteroglossus_viridis,Lophotriccus_vitiosus,Micrastur_ruficollis,Tyranneutes_virescens,Saltator_maximus,Zebrilus_undulatus,Coccycua_minuta,Pyrrhura_picta,Chloroceryle_americana
Beco_do_Catitu_2015,Beco_do_Catitu,2015,09/09/2015,27.94,28,0,5,0,0,1,1,4,3,0,4,1,0,5,0,1,0,0,5,1,0,0,1,2,6,3,3,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beco_do_Catitu_2016,Beco_do_Catitu,2016,23/10/2016,29.06,29,0,4,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,3,1,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS2_2015,CF_Grid_NS2,2015,29/08/2015,27.91,28,0,6,0,0,0,0,2,4,0,4,0,0,2,0,0,0,0,3,2,0,0,0,2,6,4,1,0,4,0,0,0,1,0,2,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,5,3,1,2,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS2_2016,CF_Grid_NS2,2016,15/08/2016,28.87,29,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,7,3,0,0,0,10,4,1,3,0,1,0,0,0,3,0,3,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,3,0,0,2,9,0,0,1,0,1,3,0,0,1,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS3_2015,CF_Grid_NS3,2015,30/08/2015,27.91,28,0,1,0,0,0,3,3,1,0,1,0,0,2,0,1,1,0,3,0,0,0,0,0,5,4,3,0,2,0,0,0,2,0,4,2,0,0,3,0,3,1,1,0,0,0,0,1,0,1,1,0,1,2,5,0,0,1,0,4,6,0,4,0,1,0,0,0,0,0,2,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS3_2016,CF_Grid_NS3,2016,16/08/2016,28.87,29,0,2,0,0,0,2,1,1,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,6,1,4,1,5,0,1,0,0,2,3,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,1,4,6,0,2,1,3,0,1,0,1,0,3,0,2,0,3,1,1,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Loreno_2015,CF_Loreno,2015,28/11/2015,28.16,28,0,4,0,0,0,0,1,0,0,3,1,0,5,0,0,0,1,4,4,0,0,0,1,5,4,1,0,2,0,0,0,1,0,6,3,1,0,0,2,2,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Loreno_2016,CF_Loreno,2016,08/09/2016,28.94,29,0,1,0,0,0,0,0,4,0,1,0,0,2,0,0,0,2,2,0,0,0,0,2,5,0,0,0,0,0,1,0,2,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Tucumari_2015,CF_Tucumari,2015,05/12/2015,28.18,28,0,1,1,0,0,6,0,6,0,2,0,0,1,0,0,0,0,4,1,0,0,0,1,3,1,0,2,2,0,0,0,0,0,0,3,0,2,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Tucumari_2016,CF_Tucumari,2016,10/08/2016,28.86,29,1,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0,4,3,0,0,0,0,0,8,0,0,3,0,0,1,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Waba_2015,CF_Waba,2015,30/10/2015,28.08,28,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,2,4,0,0,0,2,8,0,3,0,3,2,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Waba_2016,CF_Waba,2016,17/07/2016,28.79,29,1,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
