site_year,site,year,date,t,area,Attila_spadiceus,Chrysuronia_versicolor,Dendrocolaptes_certhia,Lipaugus_vociferans,Myrmotherula_axillaris,Pseudopipra_pipra,Monasa_atra,Dendrocincla_fuliginosa,Phaethornis_superciliosus,Schiffornis_turdina,Thalurania_furcata,Formicarius_colma,Sporophila_angolensis,Xiphorhynchus_obsoletus,Celeus_elegans,Xiphorhynchus_pardalotus,Momotus_momota,Ceratopipra_erythrocephala,Maschalethraupis_surinamus,Florisuga_mellivora,Galbula_albirostris,Glyphorynchus_spirurus,Hypocnemis_cantator,Percnostola_rufifrons,Turdus_albicollis,Willisornis_poecilinotus,Isleria_guttata,Phaethornis_ruber,Automolus_infuscatus,Campephilus_rubricollis,Epinecrophylla_gutturalis,Gymnopithys_rufigula,Hylophylax_naevius,Mionectes_macconnelli,Myiobius_barbatus,Myrmoderus_ferrugineus,Pithys_albifrons,Thamnomanes_caesius,Thamnophilus_murinus,Campylopterus_largipennis,Corapipo_gutturalis,Cyanoloxia_rothschildii,Formicarius_analis,Frederickena_viridis,Lepidothrix_serena,Manacus_manacus,Mionectes_oleagineus,Myrmothera_campanisona,Phaethornis_bourcieri,Philydor_pyrrhodes,Tolmomyias_poliocephalus,Tunchiornis_ochraceiceps,Xenops_minutus,Corythopis_torquatus,Deconychura_longicauda,Leptotila_rufaxilla,Malacoptila_fusca,Myrmotherula_menetriesii,Platyrinchus_coronatus,Platyrinchus_saturatus,Sclerurus_rufigularis,Thamnomanes_ardesiacus,Arremon_taciturnus,Henicorhina_leucosticta,Laniocera_hypopyrra,Myrmotherula_longipennis,Ramphastos_vitellinus,Rhynchocyclus_olivaceus,Dendrocincla_merula,Geotrygon_montana,Pachyramphus_marginatus,Certhiasomus_stictolaemus,Rhytipterna_simplex,Cercomacroides_tyrannina,Chloroceryle_aenea,Philydor_erythrocercum,Ramphocaenus_melanurus,Micrastur_gilvicollis,Micrastur_ruficollis,Sclerurus_caudacutus,Synallaxis_rutilans,Ramphotrigon_ruficauda,Leptotila_verreauxi,Myiarchus_ferox,Coereba_flaveola,Terenotriccus_erythrurus,Glaucidium_hardyi,Thraupis_episcopus,Hemitriccus_zosterops,Tamatia_tamatia,Chrysolampis_mosquitus,Hylexetastes_perrotii,Troglodytes_musculus,Selenidera_piperivora,Ramphocelus_carbo,Vireo_olivaceus,Catharus_minimus,Chloroceryle_inda,Onychorhynchus_coronatus,Leucopternis_melanops,Cacicus_cela,Dacnis_cayana,Tyranneutes_virescens,Chloroceryle_americana,Glaucis_hirsutus,Pteroglossus_viridis,Bucco_capensis,Lophotriccus_galeatus,Perissocephalus_tricolor,Pheugopedius_coraya,Saltator_grossus,Trogon_rufus,Microrhopias_quixensis,Myiornis_ecaudatus
CF_Grid_NS2_2023,CF_Grid_NS2,2023,15/09/2023,35.96,NA,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,8,0,4,3,2,0,0,1,1,2,4,2,1,1,1,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS2_2024,CF_Grid_NS2,2024,10/08/2024,36.86,NA,0,0,0,0,0,2,0,0,3,0,2,1,0,0,0,2,0,0,0,0,0,4,2,1,0,1,0,0,2,0,0,1,2,5,0,0,3,3,0,1,1,2,2,1,1,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS3_2023,CF_Grid_NS3,2023,14/09/2023,35.95,NA,0,0,0,0,5,1,0,0,4,0,2,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Grid_NS3_2024,CF_Grid_NS3,2024,11/08/2024,36.86,NA,0,0,2,0,2,8,0,0,4,0,5,0,0,0,0,1,0,1,0,2,0,3,2,6,2,2,0,0,2,0,2,1,0,19,6,2,0,3,3,0,0,0,1,0,0,0,4,1,2,0,0,1,0,0,0,0,0,0,5,0,0,5,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Loreno_2023,CF_Loreno,2023,07/08/2023,35.85,NA,1,0,0,1,0,0,0,1,2,0,2,0,0,0,0,3,0,1,2,0,0,5,1,3,2,0,0,0,0,0,0,4,0,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Loreno_2024,CF_Loreno,2024,03/09/2024,36.92,NA,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,3,1,0,0,0,0,4,0,2,3,1,4,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Tucumari_2023,CF_Tucumari,2023,28/09/2023,35.99,NA,0,0,0,1,2,4,0,0,1,0,0,0,0,0,1,2,0,0,0,0,4,3,3,2,0,2,2,0,1,0,0,2,2,4,0,2,3,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Tucumari_2024,CF_Tucumari,2024,09/10/2024,37.02,NA,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,3,3,1,0,0,0,2,0,3,1,0,0,0,0,4,3,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Waba_2023,CF_Waba,2023,18/11/2023,36.13,NA,0,0,0,1,0,1,0,1,3,1,0,0,0,0,0,1,0,2,2,0,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF_Waba_2024,CF_Waba,2024,19/09/2024,36.97,NA,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,3,0,0,3,0,0,7,1,0,1,2,0,0,1,0,0,2,0,1,0,1,0,0,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
