species_CBRO_2021,species,diet,band,prnh,prnh_1,prnh_10,biom
Myrmophylax_atrothorax,Myrmeciza atrothorax,i,1,0.1,0,0,18.5
Pithys_albifrons,Pithys albifrons,i,836,210.82,0,6.76,17021
Gymnopithys_rufigula,Gymnopithys rufigula,i,509,120.06,0,25.7,14832.3
Hylophylax_naevius,Hylophylax naevia,i,53,11,18.09,0,672.6
Willisornis_poecilinotus,Hylophylax poecilinota,i,577,159.63,144.75,91.99,9687.8
Formicarius_colma,Formicarius colma,i,163,24.77,15.08,31.11,7504.5
Formicarius_analis,Formicarius analis,i,28,3.6,0,5.41,1742.7
Myrmornis_torquata,Myrmornis torquata,i,91,18.91,15.08,20.29,4062.2
Grallaria_varia,Grallaria varia,i,8,1.03,0,0,975
Hylopezus_macularius,Hylopezus macularius,i,26,3.49,0,1.35,1099.8
Myrmothera_campanisona,Myrmothera campanisona,i,2,0.21,0,0,95.3
Conopophaga_aurita,Conopophaga aurita,i,60,10.07,9.05,16.23,1422.6
Phoenicircus_carnifex,Phoenicercus carnifex,f,5,0.51,0,0,472.5
Lipaugus_vociferans,Lipaugus vociferans,f,7,0.72,0,0,511.4
Ceratopipra_erythrocephala,Pipra erythrocephala,f,43,4.63,0,0,529.8
Pseudopipra_pipra,Pipra pipra,f,490,69.49,24.13,66.29,5786.9
Lepidothrix_serena,Pipra serena,f,150,24.57,0,0,1597.5
Corapipo_gutturalis,Corapipo gutturalis,f,55,6.68,6.03,9.47,451
Neopipo_cinnamomea,Neopipo cinnamomea,"f, i?",1,0.1,0,0,7
Tyranneutes_virescens,Tyranneutes virescens,"f, i?",2,0.21,0,1.35,17.3
Piprites_chloris,Piprites chloris,"f, i",1,0.1,0,0,17
Schiffornis_turdina,Schiffornis turdinus,"f,i",196,50.57,0,32.47,6573.8
Terenotriccus_erythrurus,Terenotriccus erythrurus,i,43,5.04,30.16,6.76,289
Attila_spadiceus,Attila spadiceus,i,2,0.21,0,0,63.8
